gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some college,standard,none,69,63,62
female,group E,bachelor's degree,free/reduced,completed,65,78,80
female,group C,some high school,standard,none,57,56,59
female,group D,associate's degree,free/reduced,none,62,73,71
male,group C,some college,free/reduced,none,46,52,46
male,group B,some high school,free/reduced,none,39,35,28
female,group C,associate's degree,standard,none,78,90,84
female,group D,master's degree,standard,none,79,85,87
female,group C,high school,free/reduced,none,67,84,81
male,group B,some college,free/reduced,none,57,62,54
female,group D,associate's degree,standard,completed,80,86,91
male,group B,high school,standard,completed,85,86,84
male,group B,high school,standard,none,79,75,71
male,group E,bachelor's degree,standard,none,55,42,35
male,group D,bachelor's degree,free/reduced,completed,69,76,74
female,group B,some college,free/reduced,completed,43,54,57
female,group A,some high school,free/reduced,none,25,36,22
female,group B,bachelor's degree,standard,none,68,76,71
female,group D,bachelor's degree,standard,none,82,86,82
male,group A,bachelor's degree,standard,none,98,92,94
male,group B,bachelor's degree,standard,none,76,74,76
female,group C,some high school,standard,completed,88,87,88
male,group D,some college,standard,none,54,45,43
female,group B,associate's degree,standard,none,44,57,59
female,group C,associate's degree,free/reduced,none,52,60,63
female,group B,some college,free/reduced,completed,33,45,52
male,group E,associate's degree,free/reduced,none,61,66,56
male,group D,some high school,free/reduced,none,45,47,39
male,group C,bachelor's degree,standard,none,69,64,65
male,group A,high school,standard,completed,88,74,78
female,group B,some high school,free/reduced,completed,59,74,72
female,group E,high school,standard,none,92,92,86
female,group C,some college,standard,none,84,100,99
female,group D,associate's degree,free/reduced,none,82,83,89
male,group B,master's degree,standard,none,76,78,81
male,group C,some college,free/reduced,none,73,75,68
female,group E,high school,standard,none,63,68,57
male,group B,some college,standard,completed,80,79,77
female,group B,bachelor's degree,standard,none,91,100,97
female,group C,bachelor's degree,standard,completed,84,85,92
female,group C,associate's degree,free/reduced,none,77,87,80
male,group B,associate's degree,standard,none,58,56,56
female,group A,high school,free/reduced,none,55,60,61
female,group B,bachelor's degree,standard,none,87,95,90
male,group E,high school,standard,completed,97,92,90
female,group C,associate's degree,free/reduced,none,63,78,70
male,group D,some high school,free/reduced,completed,79,71,70
male,group C,bachelor's degree,standard,completed,77,84,85
female,group D,associate's degree,standard,none,56,64,66
male,group D,associate's degree,standard,none,59,51,52
female,group C,associate's degree,free/reduced,none,47,72,66
male,group E,bachelor's degree,standard,none,82,80,78
female,group C,associate's degree,standard,none,53,47,52
female,group D,high school,free/reduced,completed,53,57,65
female,group C,associate's degree,free/reduced,completed,63,81,85
female,group E,some college,standard,completed,81,91,91
female,group C,associate's degree,standard,none,67,73,72
male,group C,some high school,standard,none,46,34,34
female,group E,some college,standard,none,51,55,52
male,group B,some high school,free/reduced,none,26,25,20
female,group C,high school,free/reduced,none,44,61,60
male,group C,some high school,free/reduced,none,78,74,72
male,group B,high school,standard,completed,74,67,68
male,group C,some high school,standard,completed,63,58,48
male,group B,some college,standard,none,49,49,48
male,group A,some college,standard,completed,72,70,72
male,group B,some college,standard,none,76,61,63
female,group E,some college,standard,none,63,72,69
female,group B,some college,standard,none,76,79,74
male,group B,bachelor's degree,standard,none,65,66,59
male,group C,some high school,free/reduced,none,70,60,57
female,group C,high school,free/reduced,completed,76,89,90
female,group D,associate's degree,free/reduced,none,71,88,89
male,group D,some college,standard,none,78,68,76
male,group E,associate's degree,free/reduced,none,70,54,55
female,group D,associate's degree,free/reduced,none,52,65,64
male,group D,some high school,standard,completed,94,83,86
female,group E,some high school,standard,completed,84,96,85
male,group E,some college,standard,none,84,71,72
male,group D,bachelor's degree,free/reduced,none,86,80,74
female,group C,some college,standard,completed,41,53,60
male,group B,some high school,standard,none,42,39,34
male,group D,some college,standard,none,91,88,83
female,group C,some high school,standard,completed,65,83,77
male,group A,associate's degree,standard,none,75,61,63
female,group D,high school,free/reduced,none,71,92,85
female,group B,associate's degree,standard,none,75,94,90
female,group C,some high school,standard,none,66,77,70
male,group A,bachelor's degree,standard,none,67,67,65
male,group C,bachelor's degree,free/reduced,none,47,56,46
female,group D,some high school,standard,none,49,67,70
female,group B,high school,standard,completed,91,98,96
female,group A,some high school,standard,completed,72,79,79
female,group B,some college,free/reduced,none,45,68,61
male,group A,some college,free/reduced,completed,89,88,85
female,group C,some college,standard,none,80,98,92
female,group A,some college,standard,none,50,58,55
male,group B,some high school,standard,none,79,75,61
female,group D,associate's degree,free/reduced,none,62,61,65
male,group D,some high school,free/reduced,completed,77,78,73
female,group D,high school,standard,completed,76,89,94
female,group D,high school,free/reduced,none,49,67,63
male,group A,some high school,standard,none,60,63,53
female,group A,some college,standard,completed,72,87,87
male,group E,high school,standard,none,86,86,77
male,group D,some college,standard,completed,88,81,85
male,group E,associate's degree,standard,none,74,59,63
female,group D,high school,standard,none,57,71,73
female,group A,some high school,free/reduced,none,53,75,69
male,group B,associate's degree,free/reduced,none,61,57,59
male,group D,some high school,free/reduced,none,30,32,31
female,group E,some high school,free/reduced,none,71,86,80
female,group D,some high school,free/reduced,none,45,58,55
male,group D,high school,free/reduced,none,43,41,42
male,group E,some college,free/reduced,none,85,79,75
male,group D,high school,standard,completed,95,96,99
female,group C,bachelor's degree,standard,none,57,66,65
female,group C,some high school,standard,completed,73,72,74
male,group C,associate's degree,standard,none,86,78,71
male,group C,associate's degree,free/reduced,completed,54,48,57
male,group C,bachelor's degree,standard,completed,82,77,73
male,group C,some high school,free/reduced,none,67,64,53
female,group D,associate's degree,standard,none,65,64,69
male,group C,master's degree,standard,completed,69,67,65
female,group D,high school,standard,none,69,69,73
female,group B,bachelor's degree,standard,none,80,82,79
male,group D,associate's degree,free/reduced,none,65,71,67
female,group D,some college,free/reduced,completed,82,91,94
female,group D,some high school,standard,none,51,67,59
female,group B,high school,standard,none,87,86,87
female,group B,associate's degree,free/reduced,none,76,94,82
female,group C,bachelor's degree,standard,none,52,65,62
male,group B,bachelor's degree,free/reduced,none,60,58,53
female,group C,some college,standard,none,43,66,61
female,group D,associate's degree,standard,none,80,90,89
female,group E,some college,standard,none,78,79,77
male,group C,associate's degree,free/reduced,none,80,74,69
female,group C,high school,standard,completed,50,68,65
male,group B,high school,free/reduced,completed,56,63,58
male,group C,some college,free/reduced,none,43,40,35
male,group D,some college,free/reduced,none,54,61,63
female,group C,some college,standard,none,67,77,78
male,group E,bachelor's degree,standard,completed,100,100,100
female,group D,bachelor's degree,standard,none,73,82,87
male,group E,high school,standard,none,88,75,77
female,group D,some high school,free/reduced,none,57,65,67
male,group E,some high school,standard,completed,72,69,65
female,group C,associate's degree,free/reduced,none,55,63,53
male,group D,some college,free/reduced,none,60,53,56
male,group D,some college,standard,completed,57,53,56
male,group D,some high school,standard,completed,67,62,60
male,group E,some college,standard,none,94,81,78
female,group C,some college,standard,none,82,96,92
male,group D,master's degree,standard,none,79,73,75
female,group D,associate's degree,free/reduced,none,63,72,72
male,group A,high school,standard,completed,72,59,63
male,group B,associate's degree,standard,completed,68,73,72
female,group E,bachelor's degree,standard,none,74,79,82
male,group C,some college,free/reduced,none,63,56,54
male,group C,associate's degree,free/reduced,completed,77,85,82
female,group E,some college,standard,none,82,81,80
male,group D,some high school,standard,none,68,60,56
male,group D,associate's degree,standard,completed,83,78,79
female,group D,high school,standard,none,84,80,87
male,group A,some college,free/reduced,none,26,38,33
female,group B,associate's degree,standard,completed,52,73,72
male,group C,some college,standard,none,69,60,55
male,group D,associate's degree,standard,none,92,74,81
male,group D,some college,free/reduced,completed,67,60,60
male,group E,some college,standard,completed,96,79,87
female,group C,some college,free/reduced,completed,78,94,91
female,group C,high school,free/reduced,none,51,80,73
female,group D,bachelor's degree,standard,none,41,55,53
male,group C,associate's degree,standard,none,78,80,75
male,group C,some high school,standard,completed,83,66,70
female,group D,some college,free/reduced,completed,69,85,90
female,group C,high school,standard,none,77,86,86
male,group D,bachelor's degree,standard,none,80,80,78
male,group A,associate's degree,free/reduced,completed,63,58,57
male,group C,some high school,standard,completed,88,77,80
female,group B,associate's degree,free/reduced,none,63,75,74
female,group B,associate's degree,standard,none,59,67,65
female,group B,high school,standard,none,55,56,48
male,group C,some high school,free/reduced,none,52,43,42
female,group E,some high school,standard,none,66,80,76
male,group C,master's degree,standard,completed,90,93,97
male,group E,high school,standard,completed,99,100,99
female,group E,associate's degree,standard,none,72,74,79
female,group E,associate's degree,standard,none,98,93,92
female,group D,some college,free/reduced,completed,64,80,84
female,group C,high school,free/reduced,completed,62,80,75
female,group D,high school,standard,none,31,41,46
male,group A,some college,standard,completed,78,88,82
female,group D,high school,standard,none,61,65,64
male,group B,high school,free/reduced,none,60,57,57
female,group D,associate's degree,standard,none,82,81,84
male,group B,high school,free/reduced,none,35,38,30
female,group C,bachelor's degree,standard,none,62,62,65
male,group B,some college,free/reduced,none,37,35,34
male,group D,some college,standard,none,66,51,52
female,group D,some high school,free/reduced,none,48,53,53
female,group C,some high school,free/reduced,none,38,57,53
female,group C,some high school,free/reduced,none,37,41,37
female,group B,some high school,free/reduced,completed,59,64,59
male,group B,associate's degree,free/reduced,completed,73,74,73
female,group D,associate's degree,free/reduced,completed,77,92,97
male,group E,associate's degree,standard,none,96,88,86
female,group D,some high school,standard,none,64,62,66
female,group D,some high school,standard,none,50,56,56
female,group D,high school,free/reduced,none,38,56,50
female,group D,some high school,standard,none,66,85,80
male,group B,high school,free/reduced,completed,43,53,46
female,group C,some college,free/reduced,none,57,64,65
male,group C,some college,standard,none,60,55,57
female,group B,some high school,standard,none,63,69,63
male,group E,bachelor's degree,free/reduced,completed,61,56,59
male,group D,some college,standard,none,61,57,60
female,group B,high school,free/reduced,none,49,57,55
female,group C,some college,standard,none,72,66,70
male,group B,high school,standard,none,69,61,57
male,group E,some college,standard,none,88,79,72
female,group D,bachelor's degree,free/reduced,completed,41,48,55
female,group E,high school,standard,none,58,56,52
female,group C,some college,free/reduced,completed,56,66,70
male,group E,some college,free/reduced,none,73,66,63
female,group A,high school,standard,none,54,67,64
female,group D,some college,standard,completed,71,95,94
female,group D,associate's degree,standard,none,80,82,82
male,group E,some college,free/reduced,none,83,78,72
female,group C,some high school,standard,none,61,64,64
male,group C,some high school,free/reduced,none,66,61,62
male,group A,associate's degree,standard,none,55,61,53
male,group D,bachelor's degree,standard,completed,96,89,92
male,group E,high school,standard,completed,86,82,83
male,group C,some college,standard,none,93,91,79
male,group C,master's degree,free/reduced,completed,68,68,68
male,group B,some college,free/reduced,none,38,44,37
female,group B,some college,standard,completed,69,80,83
male,group B,associate's degree,free/reduced,none,59,51,45
female,group E,associate's degree,standard,completed,97,100,97
male,group C,some college,free/reduced,none,62,57,55
female,group E,some high school,standard,completed,62,71,78
male,group E,associate's degree,standard,none,100,90,91
female,group B,bachelor's degree,standard,completed,58,65,69
female,group A,high school,standard,none,84,90,92
male,group D,bachelor's degree,free/reduced,none,55,52,49
male,group C,associate's degree,free/reduced,none,77,77,75
female,group D,some college,free/reduced,completed,58,65,72
female,group A,associate's degree,standard,completed,97,100,100
male,group A,bachelor's degree,free/reduced,none,54,57,49
male,group D,some college,standard,none,71,69,60
male,group B,some high school,free/reduced,none,48,47,43
male,group D,some college,standard,completed,66,68,68
female,group B,some high school,standard,completed,52,65,62
male,group D,some high school,standard,none,68,62,62
female,group D,bachelor's degree,standard,none,59,70,73
female,group D,high school,standard,none,74,72,71
male,group C,some college,standard,none,64,63,50
female,group D,some college,standard,none,81,74,79
male,group C,master's degree,standard,none,83,86,81
male,group B,bachelor's degree,standard,none,86,79,77
male,group E,associate's degree,standard,none,83,72,66
female,group B,associate's degree,free/reduced,none,43,56,50
female,group E,associate's degree,standard,none,75,63,68
male,group D,some high school,standard,completed,66,61,67
male,group D,some college,standard,completed,58,51,52
male,group A,high school,standard,none,62,55,43
female,group C,some high school,standard,none,52,55,56
male,group C,some college,standard,completed,87,77,85
male,group C,high school,standard,none,71,68,65
female,group B,bachelor's degree,standard,none,68,87,82
male,group B,high school,standard,completed,78,83,75
male,group E,associate's degree,standard,none,69,57,51
male,group D,some college,free/reduced,none,55,67,59
male,group D,some college,standard,none,90,83,87
female,group C,some college,free/reduced,none,42,62,63
female,group C,master's degree,standard,none,37,55,53
female,group D,bachelor's degree,standard,completed,74,82,87
male,group A,some high school,free/reduced,completed,79,74,78
female,group B,master's degree,free/reduced,none,52,66,62
male,group C,some high school,standard,completed,82,71,74
female,group E,some college,free/reduced,none,66,70,68
male,group D,associate's degree,standard,completed,69,62,68
female,group D,associate's degree,standard,completed,56,70,67
male,group C,high school,standard,completed,76,68,63
female,group E,high school,standard,none,89,82,85
female,group D,some college,standard,none,79,84,83
male,group C,some high school,standard,completed,68,62,60
male,group B,some high school,standard,none,60,53,51
male,group B,some high school,standard,none,73,84,77
male,group A,some college,standard,none,84,64,71
male,group D,some college,standard,completed,63,60,67
male,group D,some college,standard,none,38,37,29
female,group A,some high school,standard,none,59,60,67
male,group C,high school,standard,completed,66,79,76
female,group C,high school,free/reduced,completed,23,42,45
female,group C,some high school,standard,none,31,33,30
female,group B,associate's degree,standard,none,73,82,78
female,group D,high school,standard,none,60,69,66
male,group D,high school,standard,none,63,57,52
male,group E,high school,standard,none,74,66,62
female,group E,some college,standard,completed,77,76,83
male,group E,high school,standard,none,91,81,80
male,group D,master's degree,standard,none,84,78,78
male,group D,some high school,standard,none,74,76,70
male,group D,some high school,free/reduced,completed,48,47,46
male,group D,some college,standard,none,58,51,48
male,group C,some college,standard,completed,51,45,42
male,group D,high school,standard,completed,82,78,73
female,group B,some high school,standard,none,65,77,72
male,group E,associate's degree,standard,completed,93,88,85
male,group C,high school,standard,none,62,51,47
female,group D,some college,free/reduced,none,70,82,87
male,group C,associate's degree,free/reduced,completed,67,61,66
female,group B,some high school,free/reduced,completed,30,53,47
male,group E,bachelor's degree,standard,completed,93,87,90
male,group A,high school,free/reduced,none,50,42,36
female,group D,associate's degree,standard,none,73,80,87
male,group E,high school,free/reduced,none,88,89,79
male,group D,associate's degree,standard,none,84,86,80
female,group D,some college,free/reduced,none,56,67,68
male,group D,associate's degree,standard,completed,98,93,98
female,group C,some high school,standard,none,83,82,85
male,group C,some college,standard,none,71,65,73
female,group D,some high school,free/reduced,none,77,88,85
female,group E,master's degree,standard,none,69,78,75
male,group D,some college,free/reduced,none,69,60,51
female,group D,high school,standard,none,67,68,62
male,group B,some high school,standard,none,50,56,49
female,group C,bachelor's degree,free/reduced,none,72,73,77
female,group C,associate's degree,standard,none,68,77,78
female,group B,master's degree,standard,completed,72,76,88
male,group D,some college,free/reduced,none,44,49,49
male,group B,some high school,standard,none,65,62,61
male,group D,associate's degree,standard,completed,79,77,74
male,group C,some high school,standard,completed,41,30,35
male,group C,associate's degree,standard,completed,82,81,79
female,group B,master's degree,standard,none,87,93,90
male,group B,some high school,standard,none,59,64,58
female,group D,some college,free/reduced,none,44,55,57
male,group D,high school,standard,none,45,33,31
male,group C,some college,standard,completed,65,63,65
male,group C,high school,free/reduced,completed,46,42,41
female,group C,associate's degree,standard,none,75,87,83
male,group B,high school,standard,none,78,84,78
male,group D,some college,standard,none,71,64,63
female,group C,high school,free/reduced,completed,52,62,60
male,group B,high school,standard,none,89,83,83
male,group B,some high school,standard,completed,84,84,80
male,group B,associate's degree,free/reduced,none,68,68,59
male,group B,some college,free/reduced,completed,55,53,53
female,group C,some high school,free/reduced,none,51,64,62
male,group E,some high school,standard,none,93,85,74
male,group D,high school,standard,completed,87,85,84
female,group E,some college,standard,completed,73,68,70
male,group C,some college,free/reduced,none,49,58,53
male,group C,some high school,standard,completed,74,73,73
female,group E,some college,free/reduced,completed,76,81,84
male,group D,master's degree,standard,completed,60,54,66
male,group A,some high school,standard,completed,49,49,46
male,group D,some college,standard,completed,83,75,77
female,group B,some college,standard,completed,74,92,92
female,group C,bachelor's degree,free/reduced,completed,66,70,73
female,group B,some college,standard,completed,78,86,89
female,group E,associate's degree,standard,none,82,88,81
male,group C,associate's degree,standard,none,100,86,90
female,group B,high school,standard,completed,76,68,79
female,group E,master's degree,free/reduced,none,52,66,62
male,group B,some high school,standard,none,57,51,43
female,group D,bachelor's degree,standard,completed,93,100,100
male,group E,associate's degree,standard,completed,100,100,100
female,group C,bachelor's degree,free/reduced,none,38,55,51
female,group C,high school,free/reduced,completed,63,75,75
male,group C,bachelor's degree,standard,completed,93,90,96
male,group C,associate's degree,free/reduced,none,57,53,51
male,group D,bachelor's degree,free/reduced,none,59,57,57
female,group C,master's degree,free/reduced,completed,47,57,61
female,group E,associate's degree,free/reduced,none,70,86,81
female,group C,some high school,standard,none,62,69,73
male,group A,high school,free/reduced,none,58,66,62
male,group B,associate's degree,free/reduced,none,55,63,55
female,group C,some college,standard,none,64,80,81
male,group D,some high school,standard,completed,80,65,74
male,group C,some high school,standard,completed,56,54,56
female,group A,high school,free/reduced,completed,72,79,73
male,group C,associate's degree,free/reduced,none,65,70,67
female,group B,associate's degree,standard,none,46,64,60
male,group C,bachelor's degree,standard,none,81,86,79
male,group D,some high school,standard,completed,96,91,91
female,group B,master's degree,free/reduced,none,48,70,60
male,group B,some high school,standard,none,54,55,50
female,group D,some high school,standard,none,63,68,66
female,group C,some college,standard,completed,82,99,100
female,group E,bachelor's degree,standard,none,65,61,63
male,group B,high school,free/reduced,completed,62,68,66
male,group B,some high school,standard,none,42,44,40
female,group D,master's degree,standard,completed,93,100,100
female,group E,bachelor's degree,free/reduced,completed,64,76,78
male,group C,high school,free/reduced,none,78,75,68
male,group C,high school,free/reduced,completed,50,59,56
male,group D,some college,standard,completed,76,73,81
male,group E,bachelor's degree,free/reduced,completed,97,89,84
male,group E,associate's degree,standard,none,77,72,59
female,group C,master's degree,standard,none,50,52,58
male,group C,high school,standard,completed,96,87,88
male,group E,associate's degree,standard,none,48,42,38
female,group E,some high school,free/reduced,completed,47,59,55
male,group D,bachelor's degree,free/reduced,none,62,57,53
male,group C,high school,standard,none,20,15,13
male,group C,high school,standard,completed,82,76,74
male,group C,some college,standard,none,89,82,81
male,group C,bachelor's degree,free/reduced,none,82,82,77
female,group C,associate's degree,free/reduced,completed,52,69,71
male,group E,high school,free/reduced,none,77,70,65
female,group D,associate's degree,free/reduced,none,42,58,55
female,group E,associate's degree,free/reduced,completed,57,76,75
female,group A,high school,standard,none,53,62,62
female,group E,some high school,standard,none,81,94,92
female,group C,high school,free/reduced,none,30,46,40
female,group C,associate's degree,free/reduced,none,61,68,68
male,group A,some high school,standard,completed,84,75,79
female,group B,some college,free/reduced,none,53,55,55
male,group C,high school,standard,none,65,65,62
male,group B,high school,standard,completed,82,78,76
female,group E,master's degree,standard,none,93,92,88
female,group D,high school,free/reduced,none,49,62,63
male,group B,some high school,free/reduced,none,59,63,63
male,group E,high school,standard,completed,78,70,64
female,group B,some college,standard,none,60,71,70
female,group C,high school,standard,none,67,67,71
female,group D,some high school,standard,none,57,61,63
male,group D,high school,standard,completed,68,60,64
male,group A,some college,free/reduced,none,70,69,66
female,group D,master's degree,free/reduced,none,58,64,68
female,group D,some college,free/reduced,none,45,57,61
male,group B,master's degree,standard,none,93,93,89
male,group D,high school,standard,none,85,75,74
male,group D,some college,standard,none,60,47,55
male,group C,high school,standard,completed,69,66,67
female,group A,bachelor's degree,free/reduced,none,75,92,90
female,group B,high school,free/reduced,none,66,69,75
female,group D,associate's degree,free/reduced,completed,64,81,87
male,group C,some college,free/reduced,none,64,65,60
male,group D,some high school,standard,none,80,66,66
male,group B,high school,standard,none,81,85,79
female,group D,some college,free/reduced,none,57,58,59
male,group D,high school,standard,none,71,67,68
male,group D,some college,free/reduced,completed,71,71,71
female,group B,some college,standard,none,52,66,58
female,group E,associate's degree,standard,completed,75,83,88
male,group C,associate's degree,free/reduced,none,35,42,29
female,group D,high school,standard,none,53,63,61
male,group C,high school,standard,none,77,69,63
male,group A,bachelor's degree,standard,none,92,92,94
female,group E,associate's degree,standard,none,94,93,92
male,group D,some college,free/reduced,none,62,47,47
male,group A,high school,standard,none,67,54,49
female,group E,associate's degree,standard,completed,86,89,93
female,group D,some high school,free/reduced,completed,76,85,84
female,group C,some college,free/reduced,completed,55,64,75
female,group C,high school,free/reduced,completed,41,53,49
male,group D,master's degree,free/reduced,none,69,67,68
female,group C,bachelor's degree,standard,none,83,100,94
female,group D,high school,free/reduced,none,22,38,38
female,group D,some college,standard,completed,82,88,88
male,group D,bachelor's degree,free/reduced,none,68,69,67
male,group A,some high school,standard,none,65,63,62
male,group B,high school,standard,completed,93,84,89
female,group C,associate's degree,standard,none,62,67,61
female,group B,master's degree,free/reduced,completed,77,92,97
male,group D,some college,standard,completed,89,74,78
female,group D,associate's degree,standard,none,73,75,74
male,group C,high school,free/reduced,none,63,56,54
female,group C,some high school,free/reduced,completed,56,62,63
male,group C,master's degree,standard,none,54,48,49
female,group A,associate's degree,free/reduced,none,70,84,82
male,group E,some college,standard,completed,95,84,88
male,group B,associate's degree,standard,none,74,59,59
female,group C,master's degree,standard,none,55,53,56
male,group B,bachelor's degree,standard,completed,72,70,66
male,group E,some high school,free/reduced,completed,88,91,83
male,group D,bachelor's degree,free/reduced,none,49,47,46
male,group C,bachelor's degree,free/reduced,completed,63,61,63
female,group E,some high school,standard,completed,82,95,85
male,group C,some college,free/reduced,none,68,69,59
female,group C,master's degree,free/reduced,completed,48,60,63
male,group E,associate's degree,free/reduced,completed,48,52,49
male,group D,high school,standard,completed,66,60,60
male,group E,associate's degree,free/reduced,completed,67,52,54
male,group C,some college,standard,completed,66,72,70
male,group D,some high school,standard,none,65,63,54
male,group D,master's degree,standard,none,65,54,59
female,group D,some high school,standard,none,63,68,63
male,group D,some college,standard,none,74,72,69
male,group E,bachelor's degree,standard,completed,93,86,82
male,group C,high school,free/reduced,none,77,79,69
female,group C,associate's degree,free/reduced,none,64,71,72
female,group A,some high school,free/reduced,completed,70,80,81
male,group B,some high school,standard,none,88,82,73
male,group C,some high school,free/reduced,none,77,77,70
male,group C,associate's degree,standard,none,56,51,53
male,group D,associate's degree,standard,none,90,87,91
female,group D,high school,standard,none,70,80,79
female,group B,some high school,standard,none,60,63,60
male,group C,bachelor's degree,free/reduced,completed,73,67,78
female,group C,associate's degree,standard,none,70,77,76
male,group D,high school,standard,completed,75,73,66
male,group D,associate's degree,standard,none,67,66,63
female,group B,some college,free/reduced,none,14,18,22
female,group C,master's degree,free/reduced,completed,68,75,78
male,group D,some college,standard,none,82,84,75
female,group C,some high school,standard,none,72,76,70
male,group C,some college,standard,none,49,54,53
female,group C,high school,standard,none,28,42,42
male,group C,some college,standard,completed,76,74,77
female,group A,high school,standard,completed,42,49,59
female,group A,some college,standard,none,40,43,48
male,group C,some college,standard,completed,36,33,30
male,group B,bachelor's degree,standard,none,75,64,63
female,group D,master's degree,free/reduced,none,73,90,88
male,group D,some college,standard,completed,77,82,87
male,group D,master's degree,free/reduced,none,71,63,61
male,group C,associate's degree,standard,completed,64,65,61
female,group D,master's degree,free/reduced,none,68,76,70
male,group C,high school,standard,none,83,74,72
male,group C,some college,standard,completed,94,88,85
male,group D,high school,standard,none,55,56,52
female,group B,some high school,free/reduced,none,51,60,54
male,group C,some high school,standard,none,84,86,77
male,group D,associate's degree,standard,none,95,83,86
female,group C,some college,standard,none,58,57,62
female,group B,associate's degree,standard,none,79,96,100
female,group D,master's degree,free/reduced,none,71,87,84
female,group C,some college,standard,none,62,63,64
male,group E,high school,free/reduced,none,65,54,44
male,group D,bachelor's degree,standard,none,65,70,65
female,group C,high school,standard,none,52,62,61
male,group B,bachelor's degree,free/reduced,completed,67,66,66
male,group C,high school,free/reduced,none,51,54,47
female,group B,some college,standard,none,67,65,64
male,group D,some high school,standard,completed,86,80,88
male,group C,high school,free/reduced,none,46,50,47
male,group A,bachelor's degree,standard,none,62,57,55
male,group C,some high school,free/reduced,none,54,49,45
male,group B,high school,free/reduced,none,43,56,47
female,group D,high school,standard,none,45,61,60
female,group A,high school,free/reduced,none,39,54,44
male,group D,master's degree,free/reduced,none,67,62,57
female,group C,bachelor's degree,standard,none,74,72,75
male,group A,associate's degree,standard,completed,75,76,71
female,group B,some high school,standard,none,52,66,54
female,group E,high school,standard,none,72,78,75
male,group D,associate's degree,free/reduced,completed,87,97,90
male,group D,associate's degree,standard,none,74,66,63
male,group E,high school,free/reduced,none,53,48,41
female,group C,associate's degree,free/reduced,completed,38,46,50
female,group D,high school,free/reduced,none,57,66,69
male,group A,bachelor's degree,standard,none,80,78,77
female,group B,some college,standard,none,70,78,82
male,group C,some high school,standard,none,56,56,55
female,group E,some high school,free/reduced,none,51,53,50
male,group D,some college,standard,none,72,64,59
female,group A,associate's degree,standard,none,66,72,77
female,group E,associate's degree,free/reduced,none,74,78,79
male,group A,some college,standard,none,87,81,82
female,group C,high school,free/reduced,completed,47,68,65
male,group D,master's degree,standard,none,57,56,50
female,group C,some high school,free/reduced,none,62,76,72
female,group B,associate's degree,standard,none,42,48,48
female,group E,some college,standard,completed,81,82,89
male,group D,some college,standard,none,99,85,88
female,group C,bachelor's degree,standard,completed,78,88,87
female,group D,associate's degree,free/reduced,none,49,57,57
female,group C,high school,standard,none,60,78,71
female,group D,some high school,standard,none,56,61,58
male,group D,some high school,free/reduced,none,60,48,48
male,group B,some college,standard,none,49,40,36
male,group D,bachelor's degree,standard,completed,51,50,53
male,group C,high school,standard,completed,78,86,82
female,group D,some college,standard,completed,77,79,88
female,group C,some college,standard,none,56,71,64
male,group B,high school,standard,none,50,41,39
female,group D,some high school,standard,completed,74,76,82
female,group D,some college,standard,none,70,78,77
female,group C,some high school,free/reduced,none,45,50,44
male,group E,associate's degree,free/reduced,completed,80,76,76
female,group C,associate's degree,standard,completed,69,84,84
female,group A,associate's degree,standard,none,77,94,91
female,group D,high school,free/reduced,completed,45,57,62
male,group A,associate's degree,standard,none,71,59,53
male,group C,master's degree,standard,none,63,62,59
male,group D,high school,standard,none,56,54,48
male,group C,high school,standard,none,52,45,49
female,group D,some college,standard,none,42,54,49
male,group B,some college,free/reduced,none,71,60,60
male,group E,some high school,free/reduced,completed,56,51,48
male,group C,associate's degree,standard,none,83,70,66
male,group E,some college,free/reduced,completed,70,68,69
female,group B,some college,free/reduced,none,63,62,70
female,group C,some college,standard,none,74,92,89
female,group C,some college,free/reduced,none,68,82,87
female,group D,high school,free/reduced,completed,50,60,62
female,group D,associate's degree,standard,completed,93,91,100
female,group B,some college,standard,none,67,75,68
male,group D,some college,standard,none,98,83,84
male,group C,associate's degree,standard,none,84,77,73
female,group D,some high school,free/reduced,none,64,73,70
female,group A,associate's degree,standard,none,62,72,68
female,group C,high school,standard,none,68,75,70
female,group C,associate's degree,free/reduced,none,43,49,52
male,group C,bachelor's degree,free/reduced,completed,64,68,71
female,group C,bachelor's degree,standard,none,49,66,64
male,group B,master's degree,standard,none,79,85,81
male,group C,high school,free/reduced,completed,75,82,75
female,group C,some college,standard,completed,54,69,67
male,group C,associate's degree,standard,none,70,61,59
female,group C,bachelor's degree,standard,none,71,68,73
male,group D,some college,free/reduced,none,51,50,47
male,group E,some college,free/reduced,completed,66,63,66
female,group C,some high school,standard,none,61,62,66
female,group C,some high school,standard,none,75,82,76
female,group C,some college,standard,none,67,75,79
male,group C,some college,free/reduced,completed,76,73,81
female,group C,some college,free/reduced,none,43,67,66
