gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some high school,standard,none,56,60,62
male,group B,bachelor's degree,standard,completed,67,76,72
male,group D,some high school,free/reduced,completed,59,53,52
male,group C,high school,free/reduced,none,72,59,57
female,group C,associate's degree,free/reduced,completed,68,91,85
male,group C,associate's degree,free/reduced,none,74,82,75
female,group D,associate's degree,standard,none,89,89,94
male,group B,master's degree,standard,none,69,61,64
female,group B,high school,standard,completed,60,57,66
male,group D,some high school,standard,none,41,32,39
male,group B,associate's degree,standard,none,75,67,65
male,group C,some college,free/reduced,none,42,43,43
female,group B,high school,free/reduced,completed,55,79,79
female,group B,some high school,free/reduced,completed,53,60,64
male,group E,associate's degree,standard,none,69,69,61
female,group C,some high school,standard,completed,80,86,89
male,group C,some high school,standard,completed,66,68,69
female,group E,bachelor's degree,standard,none,91,94,100
female,group D,some college,free/reduced,completed,57,67,67
male,group A,high school,free/reduced,completed,26,39,34
male,group D,associate's degree,standard,completed,100,92,98
female,group D,associate's degree,standard,completed,66,64,73
male,group D,associate's degree,standard,none,99,90,89
male,group C,master's degree,standard,completed,90,89,89
male,group E,bachelor's degree,free/reduced,completed,78,71,73
female,group C,some high school,standard,none,58,69,72
male,group D,associate's degree,standard,none,81,75,74
male,group C,some high school,standard,none,68,58,54
male,group D,some high school,standard,none,66,61,54
male,group D,associate's degree,standard,completed,85,86,87
female,group C,bachelor's degree,standard,none,76,88,86
male,group A,some college,standard,none,59,58,54
male,group C,some high school,standard,completed,77,77,76
male,group D,associate's degree,free/reduced,completed,35,38,40
female,group A,some high school,free/reduced,completed,67,75,73
female,group C,associate's degree,standard,none,64,86,81
female,group D,some high school,free/reduced,completed,56,69,73
male,group B,associate's degree,free/reduced,completed,53,60,59
female,group C,some college,standard,none,58,70,67
female,group C,associate's degree,free/reduced,none,49,69,71
female,group B,associate's degree,standard,none,42,50,52
male,group E,master's degree,standard,completed,66,65,63
male,group E,associate's degree,free/reduced,completed,65,55,57
female,group C,high school,standard,none,73,85,81
female,group C,some college,standard,completed,64,81,79
male,group C,some college,free/reduced,completed,70,71,70
female,group B,some high school,standard,none,54,64,53
male,group D,master's degree,standard,none,81,65,64
female,group C,associate's degree,standard,none,74,88,81
male,group D,some high school,free/reduced,none,55,54,47
male,group D,associate's degree,standard,completed,75,75,76
male,group B,high school,free/reduced,completed,81,81,82
female,group D,some high school,standard,completed,44,50,56
male,group E,bachelor's degree,standard,none,74,60,57
male,group C,master's degree,standard,completed,83,77,80
male,group C,master's degree,standard,none,77,66,66
female,group C,some high school,standard,completed,38,47,47
female,group C,some high school,standard,completed,67,77,77
female,group D,associate's degree,standard,none,41,40,41
male,group B,associate's degree,free/reduced,none,78,82,70
female,group C,high school,standard,none,72,81,82
male,group C,some high school,standard,completed,58,69,58
male,group C,bachelor's degree,standard,none,61,50,54
male,group E,some college,standard,none,75,71,65
male,group C,high school,free/reduced,none,71,78,69
male,group B,high school,standard,none,53,42,36
male,group B,associate's degree,standard,none,80,67,63
female,group C,some college,standard,completed,50,68,70
male,group E,associate's degree,free/reduced,completed,84,86,77
male,group D,some high school,standard,none,97,89,85
male,group C,associate's degree,standard,none,37,38,37
male,group E,some college,standard,completed,98,96,87
female,group E,associate's degree,standard,none,73,82,74
female,group C,high school,free/reduced,completed,83,93,89
male,group C,some college,standard,completed,68,62,65
female,group C,some college,free/reduced,none,69,70,70
female,group C,some college,standard,none,70,87,82
female,group D,some high school,free/reduced,completed,45,61,59
female,group C,some high school,standard,none,58,65,63
male,group E,master's degree,free/reduced,completed,75,76,71
male,group D,some high school,standard,none,59,47,48
male,group B,high school,standard,none,84,86,83
male,group C,some college,free/reduced,none,39,50,40
female,group D,some college,standard,none,95,97,93
male,group E,high school,standard,none,92,73,74
female,group E,associate's degree,standard,none,50,60,51
female,group C,master's degree,standard,completed,95,100,100
female,group D,associate's degree,free/reduced,none,59,73,67
female,group B,some high school,standard,none,54,71,61
female,group B,some college,standard,none,62,75,73
female,group D,master's degree,standard,none,75,75,78
female,group A,high school,free/reduced,none,44,61,53
female,group A,high school,standard,none,73,70,71
female,group B,some college,standard,none,56,66,62
male,group A,some high school,free/reduced,none,58,57,58
male,group C,associate's degree,standard,completed,65,63,62
female,group C,some high school,standard,none,69,74,68
female,group D,some college,free/reduced,none,43,48,45
female,group B,some college,standard,none,51,51,57
female,group B,some college,standard,completed,73,81,90
